14.05	112.18
61.33	170.97
75.43	140.26
56.25	128.52
63.17	123.56
37.36	99.5
39.06	126
60.08	103.81
38.1	141.67
30.86	160.27
52.05	152.42
30.01	142.75
19.64	137.06
39.93	134.67
39.46	142.69
48.32	138.71
40.34	142.79
12.97	142.92
23.7	146.91
32.39	145.5
21.93	135.85
12.24	109.28
74.9	163.12
55.55	157.27
57.28	171.11
95.95	177.35
52.43	162.76
37.1	158.4
16.86	131.83
47.04	112.54
25.6	126.98
13.5	141.84
36.3	158.66
33.25	151.09
18.43	158.55
50.23	162.65
14.76	160.23
69.8	158.36
17.25	137.12
41.9	133.46
23.32	120.12
9.71	123.2
5.72	120.37
31.77	128.36
50.12	151.08
36.38	144.9
41.1	125.71
30.83	115.93
29.79	111.86
35.44	127.13
48.38	111.17
31.45	115.33
51.7	123.08
28.82	107.99
31.54	129.25
10.29	124.68
25.71	134.28
21.97	119.61
53.15	131.97
67.08	137.22
25.61	134.01
25.92	143.44
56.48	140.9
26.73	127.39
51.4	137.32
27.79	125.88
10.44	136.5
18.18	109.95
45.78	105.95
31.1	111.04
50.66	113.07
50.59	111.67
60.67	114.69
63.34	100.26
56.71	129.05
6.93	125.8
30.97	147.08
16.9	148.21
16.03	166.05
27.05	158.09
35.79	135.36
26.13	106.86
14.11	96.2
65.18	102.57
15.03	120.3
44.66	118.6
13.49	130.5
24.33	147.54
26.17	108.78
21.58	108.73
17.08	107.66
13.01	95.56
15.81	117.58
34.83	119.32
41.09	141.75
45.45	126.62
23.59	135.16
33.05	123.49
29.4	124.31
49.08	128.85
49.39	141.09
12.15	129.83
26.96	113.87
52.11	108.78
18.85	103.68
48.93	96.97
38.66	95.31
35.47	96.21
11.59	100.42
5.47	119.1
38.59	110.25
19.51	114.57
33.86	134.96
42.49	137.78
25.56	121.78
11.87	107.68
46.81	107.8
15.59	124.53
56.67	129.51
58.8	131.28
48.04	147.65
25.95	137.83
31.39	127.34
32.92	130.4
17.97	131.01
41.76	126.3
17.88	130.61
8.14	129.79
10.4	131.08
28.26	116.02
31.38	110.96
13.63	116.03
11.34	128.56
11.82	140.73
45.92	135.25
57.83	137.51
24.69	105.1
10.96	112.03
63.74	100.83
14.38	119.91
59.14	126.87
10.93	101.85
