18.63	124.67
81.98	147.12
36.4	149.06
47	133.3
58.26	138.18
54.64	153.97
68.53	131.29
44.86	147.94
15.47	148.78
14.55	144.68
49.55	134.62
12.55	81.91
48.16	95.71
48.54	101.83
70.76	135.56
48.01	109.86
33.44	85.19
49.81	108.91
18.21	92.7
21.85	131.23
21.85	111.28
21.85	115.56
84.92	164.34
77.16	101.48
86.97	80
44.68	98.26
28.61	97.64
28.81	104.92
46.9	96.1
23.44	87.43
28.28	121.25
37.15	108.78
39.2	108.52
66.89	121.94
79.04	137.26
74.46	113.68
44.81	114.78
16.51	119.36
65.75	118.25
62.54	130.82
48.73	142.53
70.13	176.34
92.64	81.91
67.87	96.87
53.87	105.82
73.43	84.99
59.53	80.58
55.98	109.27
38.04	105.92
26.37	119.78
24.23	123.07
34.68	138.08
38.26	106.28
54.77	106.01
38.86	113.23
25.09	98.13
77.79	105.59
15.84	98.51
60.87	69.32
25.22	90.71
34.55	73.97
50.51	93.34
11.25	112.77
53.03	123.02
34.88	92.47
46.65	85.72
56.89	72.58
70.92	80.74
52.19	79.08
23.57	76.25
21.25	68.39
25.62	110.55
71.02	93.45
37.39	110.49
15.71	106.75
15.11	98.05
36.41	115.63
31.17	108.27
41.79	95.42
29.61	83.62
47.48	79.69
16.51	76.77
41.19	93.89
43.88	122.3
74.57	107.72
47.79	112.99
64.11	125.39
65.95	131.8
77.89	130.12
31.24	135.25
37.54	141.47
39.72	124.76
60.06	115.52
34.53	116.29
42.09	119.55
50.19	125.17
28.13	106.92
62.19	91.37
44.23	117.26
40.54	123.67
15.93	129.08
25.25	113.45
47.27	122.46
53.06	123.49
51.12	128.75
23.39	128.08
64.25	152.68
63.32	128.63
55.35	102.34
44.93	88.92
71.5	103.44
59.84	97.57
46.2	95.14
29.23	96.99
48.56	126.88
46.23	112.26
14.38	109.75
44.17	112.14
53.1	85.65
35.14	107.53
12.6	115.92
65.98	90.3
21.81	101.79
37.33	90.73
35.48	98.89
29.79	150.49
44.66	112.88
25.02	70.48
49.1	45.86
35.56	53.31
72.46	63.9
41.01	65.4
59.21	79.68
47.05	58.05
56.3	70.25
26.08	77.45
44.71	94.11
32.9	92.3
45.89	72.22
67.94	64.35
19.9	49.93
43.06	46.64
52.13	36.23
44.13	48.82
48.83	44
52.29	54.79
47.66	55.32
36.25	51.38
40.03	51.23
37.32	69.2
66.19	101.31
