0	-110.0	-51.0	25.0	-5.0	12.0	6.0	-27.0	91.0	132.92
1	-87.0	-3.0	5.0	-5.0	3.0	4.0	-22.0	-25.0	121.29
2	1.0	-13.0	-19.0	-7.0	-21.0	-12.0	19.0	-21.0	120.07
3	56.0	-24.0	-18.0	28.0	29.0	-13.0	-78.0	40.0	105.28
4	-29.0	-6.0	21.0	-3.0	12.0	10.0	10.0	14.0	109.94
5	63.0	-28.0	-62.0	-3.0	-8.0	1.0	58.0	-14.0	114.1
6	13.0	20.0	2.0	4.0	10.0	4.0	-13.0	-2.0	117.27
7	13.0	27.0	2.0	21.0	-15.0	0.0	-8.0	4.0	108.9
8	-110.0	-4.0	1.0	10.0	3.0	-7.0	-21.0	71.0	109.94
9	30.0	35.0	-18.0	-2.0	10.0	5.0	5.0	6.0	97.91
10	24.0	-37.0	3.0	2.0	-3.0	-1.0	5.0	23.0	92.34
11	-108.0	36.0	109.0	0.0	7.0	-5.0	9.0	38.0	78.24
12	-36.0	-7.0	-30.0	-43.0	-1.0	92.0	-13.0	28.0	64.5
13	-6.0	7.0	-11.0	41.0	-13.0	2.0	-5.0	22.0	60.49
14	64.0	22.0	38.0	1.0	-1.0	-11.0	-11.0	-3.0	59.14
15	26.0	-49.0	-37.0	6.0	-30.0	2.0	37.0	-6.0	55.73
16	-44.0	13.0	17.0	42.0	-3.0	-2.0	1.0	-23.0	55.73
17	20.0	-10.0	3.0	-43.0	4.0	-28.0	-49.0	70.0	50.95
18	38.0	59.0	-14.0	-3.0	-4.0	10.0	-20.0	-6.0	46.92
19	56.0	16.0	10.0	-37.0	-10.0	4.0	-16.0	39.0	44.23
20	23.0	-59.0	-58.0	82.0	19.0	4.0	15.0	-20.0	48.15
21	2.0	-17.0	7.0	-16.0	119.0	3.0	-20.0	18.0	46.14
22	70.0	-9.0	6.0	-43.0	-27.0	-7.0	8.0	27.0	45.11
23	-38.0	-2.0	-12.0	6.0	4.0	17.0	6.0	17.0	43.36
24	67.0	20.0	25.0	5.0	15.0	-1.0	-83.0	14.0	46.92
25	-37.0	69.0	-13.0	10.0	6.0	0.0	-8.0	6.0	45.85
26	33.0	30.0	80.0	6.0	5.0	-22.0	19.0	53.0	42.54
27	-2.0	-73.0	1.0	-30.0	-6.0	-6.0	24.0	-16.0	42.77
28	-26.0	43.0	-17.0	6.0	18.0	-4.0	8.0	-40.0	43.66
29	-87.0	-4.0	24.0	-46.0	-5.0	5.0	-6.0	53.0	48.26
30	-96.0	-49.0	29.0	-2.0	-3.0	6.0	-10.0	8.0	52.17
31	71.0	-80.0	21.0	56.0	-6.0	1.0	3.0	-90.0	43.66
32	9.0	25.0	47.0	-6.0	1.0	6.0	1.0	36.0	43.36
33	26.0	-36.0	-26.0	-1.0	15.0	-7.0	30.0	-41.0	48.26
34	3.0	-49.0	8.0	11.0	0.0	-3.0	14.0	18.0	54.31
35	4.0	4.0	1.0	17.0	-13.0	1.0	-56.0	-17.0	54.31
36	6.0	-40.0	-20.0	-2.0	-7.0	-15.0	-29.0	39.0	56.86
37	-54.0	-21.0	-19.0	1.0	5.0	-8.0	-14.0	30.0	62.59
38	20.0	40.0	-104.0	-81.0	119.0	5.0	30.0	-25.0	69.23
39	52.0	-42.0	11.0	-4.0	10.0	-10.0	-5.0	29.0	67.89
40	-34.0	18.0	-7.0	-50.0	-5.0	4.0	-30.0	68.0	62.59
41	-39.0	-62.0	0.0	-13.0	1.0	8.0	3.0	13.0	72.33
42	38.0	54.0	-9.0	13.0	-13.0	9.0	12.0	-1.0	65.86
43	84.0	1.0	-30.0	3.0	-17.0	-4.0	5.0	24.0	75.18
44	4.0	18.0	-17.0	-111.0	3.0	-10.0	-15.0	-13.0	67.89
45	16.0	23.0	-4.0	20.0	-3.0	-9.0	-22.0	4.0	82.46
46	-13.0	-54.0	-3.0	-1.0	-5.0	34.0	-46.0	0.0	86.08
47	-59.0	-21.0	3.0	-113.0	-1.0	-18.0	13.0	48.0	72.33
48	-1.0	-38.0	-2.0	67.0	-7.0	-1.0	-3.0	-13.0	83.6
49	-15.0	-70.0	4.0	0.0	0.0	10.0	37.0	-53.0	90.11
50	-16.0	-55.0	4.0	-3.0	-6.0	5.0	11.0	1.0	92.34
51	50.0	31.0	-26.0	10.0	-1.0	11.0	3.0	-22.0	90.11
52	-35.0	-61.0	14.0	15.0	-3.0	2.0	-37.0	-48.0	72.65
53	63.0	121.0	-59.0	-3.0	-46.0	4.0	16.0	29.0	81.56
