0.1	11.03	106.57
0.2	7.23	106.54
0.3	5.51	106.14
0.4	4.77	105.42
0.5	6.68	102.37
0.6	10.45	98.48
0.7	2.64	95.33
0.8	8.38	97.39
0.9	20.01	99.76
1	42.15	101.49
1.1	52.33	106.91
1.2	24.63	113.77
1.3	19.62	117.24
1.4	40.66	127
1.5	31.12	138.23
1.6	51.95	147.58
1.7	27.2	153.82
1.8	55.49	158.11
1.9	30.24	161.02
2	50.34	163.29
2.1	51.95	170.74
2.2	41.25	175.44
2.3	66.27	178.46
2.4	66.47	179.01
2.5	65.84	178.95
2.6	40	178.12
2.7	77.17	178.69
2.8	50.88	178.78
2.9	70.3	179.12
3	37.7	179.79
3.1	60.91	176.6
3.2	44.01	176.37
3.3	20.32	169.83
3.4	12.62	167.26
3.5	36.28	156.68
3.6	29.41	151.47
3.7	29.3	146.77
3.8	53.03	142.92
3.9	33.73	138.55
4	21.11	127.43
4.1	29.91	112.83
4.2	27.77	105.9
4.3	37.95	104.57
