0.1	2.05	138.96
0.2	1.97	138.43
0.3	5.16	138.26
0.4	4.03	137.54
0.5	21.95	137.14
0.6	14.56	148.56
0.7	7.46	151
0.8	12.28	151.61
0.9	6.85	144.05
1	7.83	132.72
1.1	6.95	127.64
1.2	67.81	126.4
1.3	55.4	129.02
1.4	59.97	127.18
1.5	30.71	129.46
1.6	44.83	125.98
1.7	8.23	123.91
1.8	12.3	122.11
1.9	6.83	139.57
2	3.25	136.6
2.1	46	135.96
2.2	15.56	134.74
2.3	15.08	136.23
2.4	9.64	139.63
2.5	12.04	138.56
2.6	10.24	141.94
2.7	19.81	149.95
2.8	4.65	139.17
2.9	8.59	136.58
3	11.11	133.96
3.1	2.51	136.46
3.2	4.86	138.16
3.3	2.24	133.6
3.4	2.43	138.7
3.5	1.72	133.14
3.6	4.34	142.21
3.7	13.16	146.38
3.8	5.36	144.36
3.9	4.45	143.62
4	1.34	143.03
