0.1	53.01	83.17
0.2	36.12	87.52
0.3	36.1	89.77
0.4	30.41	89.61
0.5	21.82	101.04
0.6	14.85	121.62
0.7	38.87	115.19
0.8	51.58	115.39
0.9	40.12	124.42
1	75.87	138.04
1.1	39	141.83
1.2	77.49	145.64
1.3	42.26	149.46
1.4	84.61	152.57
1.5	40.49	156.59
1.6	54.93	157.49
1.7	46.64	158.31
1.8	60.18	160.03
1.9	100.6	157.31
2	71.34	156.87
2.1	52.94	156.98
2.2	91.17	159.24
2.3	57.94	158.72
2.4	81.01	152.65
2.5	47.97	147.33
2.6	39.87	144.54
2.7	57.23	142.2
2.8	75.21	121.46
2.9	50.66	121.77
3	60.68	120.96
3.1	62.74	127.09
3.2	30.38	119.78
3.3	77.44	88.4
3.4	27.22	110.5
3.5	38.87	90.31
3.6	32.39	92.91
3.7	7.16	90.69
3.8	18.38	92.38
3.9	15.59	90.35
4	13.5	89.64
