0.1	4.9	179.25
0.2	8.49	179.91
0.3	14.4	177.78
0.4	24.36	177.01
0.5	38.45	174.82
0.6	63.05	171.75
0.7	9.94	168.25
0.8	11.01	169.8
0.9	9.9	144.61
1	18.47	163.79
1.1	46.51	170.43
1.2	15.03	158.61
1.3	21.94	161.48
1.4	23.82	159.19
1.5	67.83	157.4
1.6	29.49	171.32
1.7	24.79	171.59
1.8	25.98	168.62
1.9	30.01	167.07
2	26.31	177.13
2.1	37.51	161.3
2.2	5.99	141.91
2.3	11.45	138.92
2.4	21.33	139.87
2.5	17.39	157.72
2.6	7.47	164.67
2.7	5.07	155.32
2.8	4.95	152.47
2.9	7.3	145.18
3	5.97	138.28
3.1	14.54	137.38
3.2	13.21	139.51
3.3	25.32	141.64
3.4	11.34	143.72
3.5	14.52	146.99
3.6	8.23	146.76
3.7	20.48	149.56
3.8	10.23	156.01
3.9	9.43	161.43
4	23.91	164.24
4.1	7.97	165.74
4.2	16.09	169.16
4.3	11.44	175.69
4.4	10.61	178.17
