0.1	4.95	61.57
0.2	9.13	61.53
0.3	3.01	61.49
0.4	5.46	61.62
0.5	9.23	61.72
0.6	16.54	61.28
0.7	30.16	60.84
0.8	24.73	69.74
0.9	31.86	77.75
1	31.89	96.81
1.1	39.85	112.52
1.2	44.9	120.42
1.3	24.33	125.73
1.4	42.3	129.2
1.5	58.87	132.47
1.6	48.29	138.48
1.7	44.02	147.34
1.8	61.2	149.93
1.9	26.02	151.51
2	22.85	152.14
2.1	50.97	152.59
2.2	23.81	150.92
2.3	31.59	148.23
2.4	53.51	139.13
2.5	51.88	132.91
2.6	48.88	128.39
2.7	31.91	122.48
2.8	20.23	110.28
2.9	50.52	103.23
3	47.3	95.77
3.1	20.07	89.85
3.2	27.47	88.49
3.3	51.61	86.16
3.4	14.14	82.9
3.5	15.77	81.77
3.6	16.8	79.42
